Feature,Coefficient,Abs Coefficient
sex,0.9913796263231557,0.9913796263231557
chol_missing,0.9092366207177501,0.9092366207177501
exang,0.7419819528466255,0.7419819528466255
ca,0.6170982573928543,0.6170982573928543
cp,0.5323410894484246,0.5323410894484246
oldpeak,0.4956009609241535,0.4956009609241535
slope_missing,-0.46598521586824115,0.46598521586824115
thal_missing,-0.41280946763483706,0.41280946763483706
fbs,0.3153915311747109,0.3153915311747109
ca_missing,0.3053865678341614,0.3053865678341614
restecg,0.1478249972606041,0.1478249972606041
thal,0.12709391769915987,0.12709391769915987
thalach,-0.017521282618024287,0.017521282618024287
age,0.008651049874889018,0.008651049874889018
trestbps,-0.0023293843791223037,0.0023293843791223037
chol,0.0022527546964110352,0.0022527546964110352
slope,0.0,0.0
