Feature,Chi2 Score,Abs Coefficient,Importance,Chi2 Rank,LASSO Rank,RF Rank,Avg Rank
cp,19.47498298989725,0.5323410894484246,0.1516645146449217,5.0,5.0,1.0,3.6666666666666665
exang,85.66787195662576,0.7419819528466255,0.07094118543200185,1.0,3.0,8.0,4.0
ca,16.682955045157758,0.6170982573928543,0.08688446884894174,6.0,4.0,5.0,5.0
chol_missing,36.88432347324358,0.9092366207177501,0.025125849140456742,2.0,2.0,11.0,5.0
sex,14.78743939568454,0.9913796263231557,0.03629083105153322,7.0,1.0,10.0,6.0
oldpeak,3.6639550344704404,0.4956009609241535,0.10417297398292677,13.0,6.0,2.0,7.0
thal,28.331625204201366,0.12709391769915987,0.08365695746478467,4.0,12.0,6.0,7.333333333333333
slope_missing,29.99304726778903,0.46598521586824115,0.01896660968470607,3.0,7.0,13.0,7.666666666666667
thalach,6.685273909351337,0.017521282618024287,0.09631562876262027,8.0,13.0,4.0,8.333333333333334
age,4.929283393285937,0.008651049874889018,0.1001090826447583,10.0,14.0,3.0,9.0
fbs,5.645967603414411,0.3153915311747109,0.013506538839536389,9.0,9.0,16.0,11.333333333333334
restecg,2.377375539115328,0.1478249972606041,0.023809675910512983,14.0,11.0,12.0,12.333333333333334
trestbps,0.4715752227106652,0.0023293843791223037,0.0643836413854257,15.0,15.0,9.0,13.0
ca_missing,4.33614332763269,0.3053865678341614,0.00963805885738941,12.0,10.0,17.0,13.0
thal_missing,0.23343965662611843,0.41280946763483706,0.01579399327808461,16.0,8.0,15.0,13.0
chol,0.2120609471872556,0.0022527546964110352,0.08026977430482325,17.0,16.0,7.0,13.333333333333334
slope,4.6239259295604205,0.0,0.018470215766576314,11.0,17.0,14.0,14.0
